# Borussia Monchengladbach 2-2 1. FC Heidenheim | Full Match | Bundesliga MD28 2026-04-04
# Generated from Sportradar Extended API (1089 events)
# Format: mm:ss|priority|message
# Total speak events: 898
#
58:11|APPEND|to Elvedi.
58:12|APPEND|Throw-in for Heidenheim.
58:14|APPEND|Elvedi to Mohya.
58:53|APPEND|Stergiou to Dorsch.
58:55|APPEND|to Ramaj.
59:05|APPEND|Scally to Nicolas.
59:08|APPEND|to Elvedi.
59:15|APPEND|to Sander.
59:25|APPEND|Ramaj to Busch.
59:28|APPEND|to Ramaj.
59:39|APPEND|to Stergiou.
59:50|APPEND|Nicolas to Diks.
59:52|APPEND|to Elvedi.
59:56|APPEND|to Nicolas.
60:03|APPEND|to Castrop.
60:11|APPEND|Mainka to Busch.
60:19|APPEND|Zivzivadze to Honsak.
60:21|APPEND|to Zivzivadze.
60:23|APPEND|to Honsak.
60:27|APPEND|to Fohrenbach.
60:28|APPEND|to Dorsch.
60:30|APPEND|to Fohrenbach.
60:32|APPEND|to Honsak.
60:33|APPEND|to Dorsch.
60:36|APPEND|to Fohrenbach.
60:37|APPEND|to Mainka.
60:39|APPEND|to Fohrenbach.
60:42|APPEND|to Honsak.
60:44|APPEND|to Niehues.
60:47|APPEND|to Dorsch.
60:51|APPEND|to Fohrenbach.
60:57|APPEND|to Dinkci.
61:01|APPEND|to Dorsch.
61:03|APPEND|to Stergiou.
61:04|APPEND|to Mainka.
61:06|APPEND|to Pieringer.
61:15|APPEND|to Busch.
61:18|APPEND|Busch sends in a cross, but it's cleared.
61:19|INTERRUPT|Dinkci fires a right-footed shot from 21 meters, but it goes wide.
61:21|APPEND|Goal kick for Gladbach.
61:41|APPEND|Substitution for Heidenheim. Ibrahimovic replaces Honsak.
61:45|APPEND|Substitution for Heidenheim. Kaufmann replaces Zivzivadze.
62:14|APPEND|Substitution for Gladbach. Stoger replaces Engelhardt.
62:20|APPEND|Substitution for Gladbach. Neuhaus replaces Mohya.
62:39|APPEND|Diks to Nicolas.
62:42|APPEND|to Sander.
62:48|APPEND|to Machino.
62:53|APPEND|Niehues to Pieringer.
63:00|INTERRUPT|Pieringer tries a right-footed shot from 18 meters, but it's deflected wide.
63:04|INTERRUPT|GOAL! Busch fires a left-footed shot into the net from 10 meters! It's 1-2!
64:13|APPEND|Foul by Heidenheim.
64:33|APPEND|Elvedi to Diks.
64:36|APPEND|to Stoger.
64:38|APPEND|to Diks.
64:50|APPEND|to Elvedi.
64:55|APPEND|to Scally.
65:00|APPEND|to Sander.
65:02|APPEND|to Machino.
65:14|INTERRUPT|Machino tries a right-footed shot from 17 meters, but it's deflected wide.
65:22|INTERRUPT|Corner kick for Gladbach, taken by Sander.
